pddikti_institution_code,institution_name,ownership,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
150,SEKOLAH TINGGI ILMU KESEHATAN PATRIOT BANGSA LAMPUNG,-1,-,KOTA BANDAR LAMPUNG,PROV. LAMPUNG,"{""website"": ""https://stikes.patriotbangsa.ac.id/"", ""email"": ""stikespatriotbangsalampung@gmail.com"", ""phone"": """"}",5500000,5500000,5500000,11000000,11000000,11000000,-1,-1,-1,-1,-1
151,POLTEKKES KEMENKES TASIKMALAYA,-1,Jl. Cilolohan No. 35 Tasikmalaya,KOTA TASIKMALAYA,PROV. JAWA BARAT,"{""website"": ""www.poltekkestasikmalaya.ac.id"", ""email"": ""direktorat@poltekkestasikmalaya.ac.id"", ""phone"": ""0265 - 340186 / 0265 - 338939""}",4200000,400000,8000000,8400000,800000,16000000,-1,-1,-1,-1,-1
152,SEKOLAH TINGGI ILMU EKONOMI PARIPURNA,-1,-,KOTA DEPOK,PROV. JAWA BARAT,"{""website"": ""www.stieparipurna.ac.id"", ""email"": ""stieparipurna15@gmail.com"", ""phone"": ""088213272135 / 021 - 29445514""}",2250000,500000,4000000,4500000,1000000,8000000,-1,-1,-1,-1,-1
153,SEKOLAH TINGGI ILMU EKONOMI KBP,-1,Jalan Khatib Sulaiman No 61,KOTA PADANG,PROV. SUMATERA BARAT,"{""website"": ""http://www.akbpstie.ac.id/"", ""email"": ""ppmkbp@gmail.com"", ""phone"": ""0751-51398 / 0751-55450""}",5000000,3000000,7000000,10000000,6000000,14000000,-1,-1,-1,-1,-1
154,POLITEKNIK INDUSTRI FURNITUR DAN PENGOLAHAN KAYU,-1,-,KAB. KENDAL,PROV. JAWA TENGAH,"{""website"": ""poltek-furnitur.ac.id"", ""email"": ""humas@poltek-furnitur.ac.id"", ""phone"": ""0294 3692732""}",2200000,2200000,2200000,4400000,4400000,4400000,-1,-1,-1,-1,-1
155,UNIVERSITAS GALUH,-1,Jalan R.E. Martadinata No. 150,KAB. CIAMIS,PROV. JAWA BARAT,"{""website"": ""https://unigal.ac.id/"", ""email"": ""info@unigal.ac.id"", ""phone"": ""776787 / 776787""}",6000000,1500000,10500000,12000000,3000000,21000000,-1,-1,-1,-1,-1
156,POLITEKNIK JAMBI,-1,Jalan Lingkar Barat III Lrg Veteran Kelurahan Bagan Bete Kecamatan Kotabaru Jamb,KOTA JAMBI,PROV. JAMBI,"{""website"": ""www.politeknikjambi.ac.id"", ""email"": ""info@politeknikjambi.ac.id"", ""phone"": ""0741-5917477 / 0741-581505""}",6238500,1700000,10777000,12477000,3400000,21554000,-1,-1,-1,-1,-1
157,SEKOLAH TINGGI AGAMA HINDU NEGERI JAWA DWIPA KLATEN JAWA TENGAH,-1,-,KAB. KLATEN,PROV. JAWA TENGAH,"{""website"": ""-"", ""email"": ""info@stahnjapa.ac.id"", ""phone"": ""3393936""}",900000,600000,1200000,1800000,1200000,2400000,-1,-1,-1,-1,-1
158,INSTITUT ISLAM NAHDLATUL ULAMA TEMANGGUNG,-1,-,KAB. TEMANGGUNG,PROV. JAWA TENGAH,"{""website"": ""inisnu.ac.id"", ""email"": ""inisnu@gmail.com"", ""phone"": ""0293 4962963""}",5550001,2,11100000,11100002,4,22200000,-1,-1,-1,-1,-1
159,STAI AL-HAMIDIYAH BANGKALAN,-1,Jl. Raya KH. Zarkasyi No. 74 Sen-Asen Konang   69175 Bangkalan,KAB. BANGKALAN,PROV. JAWA TIMUR,"{""website"": ""alhamidiyah.ac.id"", ""email"": ""info@alhamidiyah.ac.id"", ""phone"": ""085257756064 / 031-81996633""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,SEKOLAH TINGGI ILMU AGAMA BUDDHA JINARAKKHITA,-1,Jl. Raya Suban No. 86  Kel. Pidada  Kec. Panjang Bandar Lampung 35241,KOTA BANDAR LAMPUNG,PROV. LAMPUNG,"{""website"": ""https://stiab-jinarakkhita.ac.id/"", ""email"": ""kampus@stiab-jinarakkhita.ac.id"", ""phone"": ""082139114444 / +62721781263""}",2900000,2900000,2900000,5800000,5800000,5800000,-1,-1,-1,-1,-1
161,UNIVERSITAS KARYA HUSADA SEMARANG,-1,-,KOTA SEMARANG,PROV. JAWA TENGAH,"{""website"": ""www.unkaha.ac.id"", ""email"": ""info@unkaha.ac.id"", ""phone"": ""024 6724581 / 024 6724581""}",7000000,3000000,11000000,14000000,6000000,22000000,-1,-1,-1,-1,-1
162,AKADEMI KEPERAWATAN DR. SOEDONO MADIUN PROV. JAWA TIMUR,-1,Jl.Imam Bonjol No.1 Madiun,KOTA MADIUN,PROV. JAWA TIMUR,"{""website"": ""http://www.akpermadiun.ac.id"", ""email"": ""akpermadiun@gmail.com"", ""phone"": ""0351-463310 / 0351-491702""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,STMIK PGRI TANGERANG,-1,Jalan Perintis Kemerdekaan II Cikokol,KOTA TANGERANG,PROV. BANTEN,"{""website"": ""www.pgri-tng.ac.id"", ""email"": ""stmik@pgri.id"", ""phone"": ""021-5523052 / 021-55795777""}",2400000,2400000,2400000,4800000,4800000,4800000,-1,-1,-1,-1,-1
164,SEKOLAH TINGGI ILMU AL-QUR'AN ASH-SHIDDIQ,-1,Jalan Hidayatullah  DUsun II  Desa Bandar Labuhan  Kecamatan Tanjung Morawa,KAB. DELI SERDANG,PROV. SUMATERA UTARA,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",800000,800000,800000,1600000,1600000,1600000,-1,-1,-1,-1,-1
165,AKADEMI PERTANIAN HKTI BANYUMAS,-1,Jalan Raya Purwokerto Km 12 Kalibagor,KAB. BANYUMAS,PROV. JAWA TENGAH,"{""website"": """", ""email"": ""aktan_hkti@yahoo.com"", ""phone"": ""08156974743""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,POLTEKKES KEMENKES MANADO,-1,Jl. R. W. Mongisidi Malalayang II Manado,KOTA MANADO,PROV. SULAWESI UTARA,"{""website"": ""poltekkes-manado.ac.id"", ""email"": ""direktorat@poltekkesmanado.ac.id"", ""phone"": ""0431-833773; 833774 / 0431-834310""}",7050000,400000,13700000,14100000,800000,27400000,-1,-1,-1,-1,-1
167,SEKOLAH TINGGI ILMU EKONOMI TAMAN SISWA,-1,Jalan Garuda No 44  Kemayoran,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,"{""website"": """", ""email"": ""stietamsisjakarta@yahoo.com"", ""phone"": ""021 4265630 / 021 42884122""}",2400000,2400000,2400000,4800000,4800000,4800000,-1,-1,-1,-1,-1
168,AKADEMI PIMPINAN PERUSAHAAN,-1,Jl. Timbul No. 34 Kelurahan Cipedak Kecamatan Jagakarsa Jakarta Selatan,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,"{""website"": ""app-jakarta.ac.id"", ""email"": ""akademik@app-jakarta.ac.id"", ""phone"": ""0217270215 / 0217271847""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,AKADEMI TEKNIK INDUSTRI MAKASSAR,-1,Jl. Sunu No. 220,KOTA MAKASSAR,PROV. SULAWESI SELATAN,"{""website"": ""www.atim.ac.id"", ""email"": ""tika_mks@yahoo.com"", ""phone"": ""0411449609 / 0411449867""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,POLITEKNIK PERIKANAN NEGERI TUAL,-1,Jalan Langgur-Sathean Km. 6,KAB. MALUKU TENGGARA,PROV. MALUKU,"{""website"": ""www.polikant.ac.id"", ""email"": ""sekretariat@polikant.ac.id"", ""phone"": ""091621377 / 091621377""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
171,UNIVERSITAS SULBAR MANARANG,-1,-,KAB. MAMUJU,PROV. SULAWESI BARAT,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,SEKOLAH TINGGI AGAMA KATOLIK NEGERI PONTIANAK,-1,Jl. Parit Haji Muksin 2  KM 2 Kubu Raya,KAB. KUBURAYA,PROV. KALIMANTAN BARAT,"{""website"": ""https://www.stakatnpontianak.ac.id/"", ""email"": ""admin@stakatnpontianak.ac.id"", ""phone"": ""6710424""}",1550000,600000,2500000,3100000,1200000,5000000,-1,-1,-1,-1,-1
173,SEKOLAH TINGGI TEOLOGI INALTA,-1,Jl. Rempoa Permai No. 1-2  Bintaro  Pesanggrahan  Jakarta Selatan.,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,"{""website"": """", ""email"": ""stt_inalta@yahoo.com"", ""phone"": ""02127934798""}",350000,300000,400000,700000,600000,800000,-1,-1,-1,-1,-1
174,SEKOLAH TINGGI TEOLOGI AGAPE MANADO,-1,Gedung Percetakan Negara  Jl. Lumimuut No. 2 Tikala Manado,KOTA MANADO,PROV. SULAWESI UTARA,"{""website"": """", ""email"": ""sttagapemanado@gmail.com"", ""phone"": ""085240556091""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
175,UNIVERSITAS MUHAMMADIYAH JEMBER,-1,Jalan Karimata No 49,KAB. JEMBER,PROV. JAWA TIMUR,"{""website"": ""www.unmuhjember.ac.id"", ""email"": ""kantorpusat@unmuhjember.ac.id"", ""phone"": ""336728 / 337957""}",23430100,200,46860000,46860200,400,93720000,-1,-1,-1,-1,-1
176,UNIVERSITAS PRADITA,-1,Scienta Busines Park  Jl. gading Serpong Boulevard No.1 Curug Tangerang  Kelapa Dua  Tangerang Banten 15810,KAB. TANGERANG,PROV. BANTEN,"{""website"": ""www.pradita.ac.id"", ""email"": ""info@pradita.ac.id"", ""phone"": ""55689999""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,UNIVERSITAS BRAWIJAYA,-1,Jalan Veteran,KOTA MALANG,PROV. JAWA TIMUR,"{""website"": ""www.ub.ac.id"", ""email"": ""rektorat@ub.ac.id"", ""phone"": ""0341-551611 / 0341-565420""}",36750000,1,73500000,73500001,2,147000000,-1,-1,-1,-1,-1
178,AKADEMI TEKNIK RADIODIAGNOSTIK DAN RADIOTERAPI PERSADA NUSANTARA BEKASI,-1,-,KOTA BEKASI,PROV. JAWA BARAT,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",4750000,4500000,5000000,9500000,9000000,10000000,-1,-1,-1,-1,-1
179,STAI BABUNNAJAH PANDEGLANG  BANTEN,-1,Jl. Eks Stasiun Kereta Api Kp. Benteng Cimanying   Menes Pandeglang Banten,KAB. PANDEGLANG,PROV. BANTEN,"{""website"": ""stai.babunnajah.ac.id"", ""email"": ""staibabunnajah@gmail.com"", ""phone"": ""083813451618 / 0253-501675""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,INSTITUT TEKNOLOGI DAN BISNIS ARUNGPALAKKA,-1,-,KAB. BONE,PROV. SULAWESI SELATAN,"{""website"": ""https://itbarungpalakka.ac.id/"", ""email"": ""itbapbone@gmail.com"", ""phone"": ""082258079671""}",2700000,2400000,3000000,5400000,4800000,6000000,-1,-1,-1,-1,-1
181,UNIVERSITAS ISLAM LAMONGAN,-1,Jalan Veteran 53A Lamongan Jawa Timur,KAB. LAMONGAN,PROV. JAWA TIMUR,"{""website"": ""www.unisla.ac.id"", ""email"": ""info@unisla.ac.id"", ""phone"": ""0322-324706  322158 / 0322-324706  324707""}",3750000,2500000,5000000,7500000,5000000,10000000,-1,-1,-1,-1,-1
182,POLITEKNIK SENI YOGYAKARTA,-1,Klidon Sukoharjo Ngaglik Sleman,KAB. SLEMAN,PROV. D.I. YOGYAKARTA,"{""website"": ""www.poliseni.ac.id"", ""email"": ""poliseniyogyakarta@gamil.com"", ""phone"": ""0274-4464892 / 0274-4464892""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
183,AKADEMI KEPERAWATAN TEUNGKU FAKINAH BANDA ACEH,-1,Jalan Jenderal Sudirman No 27-29 Banda Aceh,KOTA BANDA ACEH,PROV. ACEH,"{""website"": ""http://www.akpertgkfakinah.ac.id"", ""email"": ""akper_fakinah@yahoo.com ; akperfakinah@gmail.com"", ""phone"": ""0651-46245  46243 / 0651-46243""}",3000000,3000000,3000000,6000000,6000000,6000000,-1,-1,-1,-1,-1
184,POLITEKNIK PALOPO,-1,-,KOTA PALOPO,PROV. SULAWESI SELATAN,"{""website"": ""-"", ""email"": ""poltekpalopo@gmail.com"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,SEKOLAH TINGGI BAHASA ASING PRAYOGA,-1,Jalan Veteran No 8 Padang Sumbar,KOTA PADANG,PROV. SUMATERA BARAT,"{""website"": ""www.stba-prayoga.ac.id"", ""email"": ""info@stba-prayoga.ac.id"", ""phone"": ""085830305317 / 0751-31717""}",2575000,150000,5000000,5150000,300000,10000000,-1,-1,-1,-1,-1
186,UNIVERSITAS AL-QOLAM MALANG,-1,Jalan Raya Putat Lor RT. 11  RW. 02. Desa Putat Lor  Kecamatan Gondanglegi,KAB. MALANG,PROV. JAWA TIMUR,"{""website"": ""https://www.alqolam.ac.id/"", ""email"": ""info@alqolam.ac.id"", ""phone"": ""0341878661""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,UNIVERSITAS SAINS DAN TEKNOLOGI JAYAPURA,-1,Jl Raya Sentani Padang Bulan Abepura  Jayapura - Papua,KOTA JAYAPURA,PROV. PAPUA,"{""website"": ""https://ustj.ac.id"", ""email"": ""ustj.papua21@gmail.com"", ""phone"": ""0967-581659; 582449 / 0967-582550""}",5250000,3700000,6800000,10500000,7400000,13600000,-1,-1,-1,-1,-1
188,POLITEKNIK META INDUSTRI CIKARANG,-1,Jalan Inti I Blok C1 No. 7  Lippo Cikarang  Cikarang Bekasi,KAB. BEKASI,PROV. JAWA BARAT,"{""website"": ""www.politeknikmeta.ac.id"", ""email"": ""info@politeknikmeta.ac.id"", ""phone"": ""02189902403 / 02189902404""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,POLITEKNIK MALINAU,-1,Malinau,KAB. MALINAU,PROV. KALIMANTAN UTARA,"{""website"": ""Politeknikmalinau.ac.id"", ""email"": ""poltek_malinau@yahoo.com"", ""phone"": ""0553-2022085 / 0553-2022085""}",2400000,2400000,2400000,4800000,4800000,4800000,-1,-1,-1,-1,-1
190,SEKOLAH TINGGI ILMU MARITIM AMI,-1,Jl Pacuan Kuda No 1-5 Pulomas  Jakarta Timur,KOTA JAKARTA TIMUR,PROV. D.K.I. JAKARTA,"{""website"": ""www.stimar.ac.id"", ""email"": ""info@stimar.ac.id"", ""phone"": ""021-4754729 / 021-47861144""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,SEKOLAH TINGGI BAHASA ASING CAKRAWALA NUSANTARA,-1,Jalan Bunga Jati No 88 Oesapa  Kelapa Lima,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,"{""website"": ""www.stibacnk.blogspot.com"", ""email"": ""stiba_cnkupang@yahoo.com"", ""phone"": ""0380-8586177 / 0380 - 8586177""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,POLITEKNIK WAHDAH ISLAMIYAH MAKASSAR,-1,-,KOTA MAKASSAR,PROV. SULAWESI SELATAN,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
193,STIKES WIJAYA HUSADA BOGOR,-1,Jl Raya Sindang Barang KM 86,KOTA BOGOR,PROV. JAWA BARAT,"{""website"": """", ""email"": ""wijayahusada@gmail.com"", ""phone"": ""0251-8327396""}",1,1,1,2,2,2,-1,-1,-1,-1,-1
194,SEKOLAH TINGGI ILMU EKONOMI MIFTAHUL HUDA,-1,Jalan Rancasari Dalam No B-33 Pamanukan,KAB. SUBANG,PROV. JAWA BARAT,"{""website"": ""www.stiemifdasubang.ac.id"", ""email"": ""mail@stiemifdasubang.ac.id"", ""phone"": ""081312360839""}",2950000,2900000,3000000,5900000,5800000,6000000,-1,-1,-1,-1,-1
195,AKADEMI KEBIDANAN AR-RAHMA,-1,Jalan Raya Carat Gempol,KAB. PASURUAN,PROV. JAWA TIMUR,"{""website"": ""www.akbidarrahma.ac.id"", ""email"": ""mail@akbidarrahma.ac.id"", ""phone"": ""0343857067 / 0343857067""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
196,SEKOLAH TINGGI ILMU KEHUTANAN PANTE KULU,-1,Jalan Teuku Nyak Arief Darussalam,KOTA BANDA ACEH,PROV. ACEH,"{""website"": ""https://stikpantekulu.ac.id"", ""email"": ""official@stikpantekulu.ac.id"", ""phone"": ""081366660845""}",2400000,1800000,3000000,4800000,3600000,6000000,-1,-1,-1,-1,-1
197,STIKES PAMENANG,-1,-,KAB. KEDIRI,PROV. JAWA TIMUR,"{""website"": ""www.stikespamenang.ac.id"", ""email"": ""stikespamenang@gmail.com"", ""phone"": ""399840""}",4000000,2000000,6000000,8000000,4000000,12000000,-1,-1,-1,-1,-1
198,INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,-1,Jl. Pulomas Barat Kav 88,KOTA JAKARTA TIMUR,PROV. D.K.I. JAKARTA,"{""website"": ""www.i3L.ac.id"", ""email"": ""operations@i3l.ac.id"", ""phone"": ""021-29567899 / 021-29617296""}",25750000,2500000,49000000,51500000,5000000,98000000,-1,-1,-1,-1,-1
199,AKADEMI KEBIDANAN BUNGA BANGSAKU BANGKA,-1,-,KAB. OGAN KOMERING ILIR,PROV. SUMATERA SELATAN,"{""website"": ""akbid-bungabangsakubangka.ac.id"", ""email"": ""akbidbbb@gmail.com"", ""phone"": ""081 / 07174256437""}",3300000,600000,6000000,6600000,1200000,12000000,-1,-1,-1,-1,-1
200,INSTITUT STUDI ISLAM AL-AMIN INDRAMAYU,-1,Jalan PU Kemped Wirakanan  Kecamatan Kandanghaur,KAB. INDRAMAYU,PROV. JAWA BARAT,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,SEKOLAH TINGGI EKONOMI ISLAM FITRAH INSANI,-1,Jalan Raya Gadobangkong Nomor 91 RT 002 RW 001  Desa Gadobangkong  Kecamatan Ngamprah,KAB. BANDUNG BARAT,PROV. JAWA BARAT,"{""website"": ""www.steifitrahinsani.ac.id"", ""email"": ""steifithrahinsani01@gmail.com"", ""phone"": ""022252391173 / 022252391173""}",2200000,2200000,2200000,4400000,4400000,4400000,-1,-1,-1,-1,-1
202,POLITEKNIK NEGERI KETAPANG,-1,Jalan Rangge Sentap  Desa Dalong  Kecamatan Delta Pawan,KAB. KETAPANG,PROV. KALIMANTAN BARAT,"{""website"": ""politap.ac.id"", ""email"": ""humas@politap.ac.id"", ""phone"": ""0534-3030686""}",2250000,500000,4000000,4500000,1000000,8000000,-1,-1,-1,-1,-1
203,POLTEKKES KEMENKES PALANGKARAYA,-1,Jalan George Obos No. 30 / 32,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,"{""website"": ""polkesraya.ac.id"", ""email"": ""direktorat@polkesraya.ac.id"", ""phone"": ""0536-3221768 / 0536-3221768""}",5167500,2400000,7935000,10335000,4800000,15870000,-1,-1,-1,-1,-1
204,SEKOLAH TINGGI ALKITAB JEMBER,-1,Jl. Letjen Soeprapto Gg. VI/85 Jember Jatim,KAB. JEMBER,PROV. JAWA TIMUR,"{""website"": """", ""email"": ""stajember@rocketmail.com"", ""phone"": ""0331-332842""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205,AKADEMI KOMUNITAS DARUSSALAM BLOKAGUNG,-1,-,KAB. BANYUWANGI,PROV. JAWA TIMUR,"{""website"": ""http://www.akd.ac.id"", ""email"": ""info@akd.ac.id"", ""phone"": ""081336492029""}",3030000,3030000,3030000,6060000,6060000,6060000,-1,-1,-1,-1,-1
206,INSTITUT AGAMA ISLAM K.H. SUFYAN TSAURI MAJENANG,-1,Jalan KH. Sufyan Tsauri Desa Cibeunying  Kecamatan Majenang,KAB. CILACAP,PROV. JAWA TENGAH,"{""website"": ""insima.ac.id"", ""email"": ""info@insima.ac.id"", ""phone"": ""02807110011""}",1200001,3,2400000,2400003,6,4800000,-1,-1,-1,-1,-1
207,UNIVERSITAS PANCA MARGA,-1,Jl Yos Sudarso Pabean Dringu,KAB. PROBOLINGGO,PROV. JAWA TIMUR,"{""website"": ""www.upm.ac.id"", ""email"": ""baak@upm.ac.id"", ""phone"": ""+62 335 422715 / +62 335 427923""}",2775000,2350000,3200000,5550000,4700000,6400000,-1,-1,-1,-1,-1
208,UNIVERSITAS DR. DJAR WATTIHELUW,-1,-,KAB. MALUKU TENGAH,PROV. MALUKU,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",2200000,2000000,2400000,4400000,4000000,4800000,-1,-1,-1,-1,-1
209,POLITEKNIK PEKERJAAN UMUM,-1,-,KOTA SEMARANG,PROV. JAWA TENGAH,"{""website"": ""www.politeknikpu.ac.id"", ""email"": ""akademik@politeknikpu.ac.id"", ""phone"": ""7472848 / 7472848""}",6000000,6000000,6000000,12000000,12000000,12000000,-1,-1,-1,-1,-1
210,SEKOLAH TINGGI TEOLOGI SAAT,-1,Jalan Bukit Hermon No. 1  Tidar Atas  Malang 65151  Jawa Timur.,KAB. MALANG,PROV. JAWA TIMUR,"{""website"": ""www.seabs.ac.id"", ""email"": ""info@seabs.ac.id"", ""phone"": ""0341-559400 / 0341-559402""}",2725000,1850000,3600000,5450000,3700000,7200000,-1,-1,-1,-1,-1
211,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA MANADO,-1,,KOTA MANADO,PROV. SULAWESI UTARA,"{""website"": """", ""email"": ""angsatanamal@gmail.com"", ""phone"": ""085341186279""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,UNIVERSITAS NAHDLATUL ULAMA SIDOARJO,-1,Jalan Monginsidi Dalam Kav. DPR Sidoklumpuk Sidoarjo,KAB. SIDOARJO,PROV. JAWA TIMUR,"{""website"": ""www.unusida.ac.id"", ""email"": ""unu@unusida.ac.id"", ""phone"": ""8079900/8949736""}",3000000,1500000,4500000,6000000,3000000,9000000,-1,-1,-1,-1,-1
213,SEKOLAH TINGGI ILMU ADMINISTRASI SANDIKTA,-1,Jalan Hankam No 208 Jatirahayu Pondok Gede,KOTA BEKASI,PROV. JAWA BARAT,"{""website"": ""stiasandikta.ac.id"", ""email"": ""stiasandikta@gmail.com"", ""phone"": ""021-8466569 / 021-84972414""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
214,INSTITUT AGAMA ISLAM LUKMAN EDY,-1,-,KOTA PEKANBARU,PROV. RIAU,"{""website"": ""www.iaile.ac.id"", ""email"": ""iailepku@gmail.com"", ""phone"": """"}",5255000,510000,10000000,10510000,1020000,20000000,-1,-1,-1,-1,-1
215,UNIVERSITAS MUHAMMADIYAH BUTON,-1,Jalan Betoambari No 36  Lanto  Batupoara,KOTA BAUBAU,PROV. SULAWESI TENGGARA,"{""website"": ""umbuton.ac.id"", ""email"": ""rektorat@umbuton.ac.id"", ""phone"": ""0402 2827038 / 0402 2827038""}",3850000,1200000,6500000,7700000,2400000,13000000,-1,-1,-1,-1,-1
216,UNIVERSITAS ISLAM NUSANTARA,-1,Jalan Soekarno-Hatta No. 530,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""uninus.ac.id"", ""email"": ""info@uninus.ac.id"", ""phone"": ""-7509656 / -7509656""}",33520000,40000,67000000,67040000,80000,134000000,-1,-1,-1,-1,-1
217,UNIVERSITAS LA TANSA MASHIRO,-1,-,KAB. LEBAK,PROV. BANTEN,"{""website"": ""https://unilam.ac.id"", ""email"": ""admin@unilam.ac.id"", ""phone"": ""0252 207163 / 0252 206794""}",1950000,1250000,2650000,3900000,2500000,5300000,-1,-1,-1,-1,-1
218,AKADEMI ANGKATAN UDARA,-1,,KOTA YOGYAKARTA,PROV. D.I. YOGYAKARTA,"{""website"": ""https://aau.ac.id/"", ""email"": """", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
219,SEKOLAH TINGGI AGAMA KRISTEN MESIAS SORONG,-1,,KAB. SORONG,PROV. PAPUA BARAT,"{""website"": ""https://stak-sorong.ac.id/"", ""email"": ""staknmesiassorong@gmail.com"", ""phone"": ""081344717268""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,STMIK AKI PATI,-1,Jalan Kamandowo No 13,KAB. PATI,PROV. JAWA TENGAH,"{""website"": ""https://stmik-aki.ac.id/"", ""email"": ""stmik.aki06@gmail.com"", ""phone"": ""0295-382087 / 0295-382344""}",1750000,500000,3000000,3500000,1000000,6000000,-1,-1,-1,-1,-1
221,STT YESYURUN ARASTAMAR SERITI LUWU,-1,,KAB. LUWU,PROV. SULAWESI SELATAN,"{""website"": ""http://sttya.ac.id"", ""email"": ""yesyurunarastamar@gmail.com"", ""phone"": ""082194945040""}",50000,50000,50000,100000,100000,100000,-1,-1,-1,-1,-1
222,SEKOLAH TINGGI ILMU KESEHATAN PEMKAB PURWOREJO,-1,-,KAB. PURWOREJO,PROV. JAWA TENGAH,"{""website"": ""https://spp.ac.id"", ""email"": ""info@spp.ac.id"", ""phone"": ""02753140576 / 02753140576""}",6175000,2400000,9950000,12350000,4800000,19900000,-1,-1,-1,-1,-1
223,UNIVERSITAS SATYAGAMA,-1,Jalan Kamal Raya No 2-A Cengkareng,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,"{""website"": ""www.satyagama.ac.id"", ""email"": ""info@satyagama.ac.id"", ""phone"": ""5452377-78 / 54391325""}",3600037100,74201,7200000000,7200074201,148402,14400000000,-1,-1,-1,-1,-1
224,UNIVERSITAS TOMPOTIKA LUWUK,-1,Jalan Dewi Sartika No 67 Luwuk,KAB. BANGGAI,PROV. SULAWESI TENGAH,"{""website"": ""www.untika.ac.id"", ""email"": ""untika.luwuk67@gmail.com"", ""phone"": ""0461324027 / 0461324027""}",2800000,100000,5500000,5600000,200000,11000000,-1,-1,-1,-1,-1
225,SEKOLAH TINGGI ILMU SYARIAH HAJI  ABDUL RASYID LOMBOK TENGAH,-1,Jl. Al Barokah Penangsak Desa Sengkerang Praya Timur Kabupaten Lombok Tengah,KAB. LOMBOK TENGAH,PROV. NUSA TENGGARA BARAT,"{""website"": ""stisharsyi.ac.id"", ""email"": ""-"", ""phone"": """"}",350000,350000,350000,700000,700000,700000,-1,-1,-1,-1,-1
226,SEKOLAH TINGGI ILMU ADMINISTRASI MALANG,-1,Jalan Baiduri Bulan No 1,KOTA MALANG,PROV. JAWA TIMUR,"{""website"": ""www.stia-malang.ac.id"", ""email"": ""info@stia-malang.ac.id"", ""phone"": ""0341-553401 / 0341-562768""}",3750000,200000,7300000,7500000,400000,14600000,-1,-1,-1,-1,-1
227,SEKOLAH TINGGI BAHASA ASING JIA,-1,Jl. Cut Muthia No. 30 KOTAMADYA BEKASI,KOTA BEKASI,PROV. JAWA BARAT,"{""website"": ""www.stba-jia.ac.id"", ""email"": ""info.mail@stba-jia.ac.id"", ""phone"": ""021-8822727 / 021-8822727""}",6012500,250000,11775000,12025000,500000,23550000,-1,-1,-1,-1,-1
228,STKIP MUHAMMADIYAH LUMAJANG,-1,Jalan Brantas No 7,KAB. LUMAJANG,PROV. JAWA TIMUR,"{""website"": ""-"", ""email"": ""stkipmuhlmj@gmail.com"", ""phone"": ""0334-881984""}",3700000,50000,7350000,7400000,100000,14700000,-1,-1,-1,-1,-1
