quipper_institution_code,email,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
66,institusi.stiem@stiemahardhika.ac.id,Sekolah Tinggi Ilmu Ekonomi Mahardhika,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-mahardhika,"Rp3.600.000-Rp6.500.000 (kisaran uang gedung, belum termasuk SPP per bulan)",8060,172,"{""website"": ""www.stiemahardhika.com"", ""email"": ""institusi.stiem@stiemahardhika.ac.id"", ""phone"": ""031-8550077, 8550099""}","Hai Quipperian, apakah kalian memiliki cita-cita menjadi seorang manajer, akuntan, atau jenjang karier lainnya di bidang bisnis dan keuangan? Kampus yang berlokasi di Surabaya ini bisa kamu jadikan pilihan yang tepat untuk menimba ilmu, lho! Perguruan tinggi yang memiliki fokus pada bidang ilmu ekonomi dan penerapan teknologi informasi ini akan menunjang cita-cita dan karier Quipperian di masa depan. Ingin tahu lebih lanjut tentang STIE Mahardhika? Yuk, simak profil lengkapnya!",{}
67,info@iainmadura.ac.id,Institut Agama Islam Negeri Madura (IAIN Madura),Institut Negeri,https://campus.quipper.com/directory/institut-agama-islam-negeri-madura-iain-madura,,10743,245,"{""website"": ""www.iainmadura.ac.id"", ""email"": ""info@iainmadura.ac.id"", ""phone"": ""+623246123433""}","Awal mula berdirinya Institut Agama Islam Negeri (IAIN) Madura berasal dari Fakultas Tarbiyah IAIN Sunan Ampel. Fakultas Tarbiyah IAIN Sunan Ampel memisahkan diri dari IAIN Sunan Ampel pada tahun 1966 dan berubah menjadi Sekolah Tinggi Agama Islam Negeri (STAIN) Pamekasan di tahun 1997. Seiring berjalannya waktu, pada tahun 2018, STAIN Pamekasan mengalami alih status menjadi IAIN Madura untuk memenuhi kebutuhan akan pesatnya pertumbuhan mahasiswa serta perkembangan ilmu pengetahuan dan teknologi. Saat ini, IAIN Madura menyediakan empat fakultas yaitu Fakultas Tarbiyah, Fakultas Syariah, Fakultas Ekonomi dan Bisnis Islam, serta Fakultas Ushuluddin dan Dakwah. Selain itu, terdapat program Pascasarjana dan program Pendidikan Profesi.",{}
68,info@uingusdur.ac.id,Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,Universitas Negeri,https://campus.quipper.com/directory/universitas-islam-negeri-k-h-abdurrahman-wahid-pekalongan,Rp0 - Rp5.500.000 per semester,13897,261,"{""website"": ""www.uingusdur.ac.id"", ""email"": ""info@uingusdur.ac.id"", ""phone"": ""0285412575""}","Cikal bakal berdirinya Universitas Islam Negeri (UIN) K.H. Abdurrahman Wahid Pekalongan dimulai dari lahirnya Fakultas Syariah Bumiayu (1968) yang pindah ke Institut Agama Islam Negeri (IAIN) Walisongo di Pekalongan pada tahun 1973. Kemudian pada tahun 1997, Fakultas di lingkungan IAIN alih bentuk menjadi Sekolah Tinggi Agama Islam Negeri (STAIN) termasuk Fakultas Syariah IAIN Walisongo menjadi STAIN Pekalongan. Lalu pada tahun 2016, STAIN Pekalongan alih status menjadi IAIN Pekalongan dan di tahun 2022 IAIN Pekalongan alih status menjadi UIN K.H Abdurrahman Wahid Pekalongan. Saat ini, UIN K.H Abdurrahman Wahid Pekalongan menyediakan empat fakultas yaitu Fakultas Ekonomi dan Bisnis Islam, Fakultas Syariah, Fakultas Ushuluddin Adab dan Dakwah, serta Fakultas Tarbiyah dan Ilmu Keguruan.",{}
69,pmbwidyayuwana@gmail.com,STKIP Widya Yuwana,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stkip-widya-yuwana,Rp5.000.000 kisaran per semester,229,17,"{""website"": ""www.widyayuwana.ac.id"", ""email"": ""pmbwidyayuwana@gmail.com"", ""phone"": ""0351-463208""}","Tahukah Quipperian, STKIP Widya Yuwana sempat menjadi bagian dari Universitas Katolik Widya Mandala yang berpusat di Surabaya? Cikal bakal sekolah tinggi ini adalah Akademi Lembaga Misionaris Awam yang di tahun 1960 bergabung menjadi jurusan di Fakultas Pendidikan Universitas Katolik Widya Mandala. Barulah sejak tahun 1985, resmi berdiri sendiri sebagai STKIP Widya Yuwana.",{}
70,info@stie-mce.ac.id,Sekolah Tinggi Ilmu Ekonomi Malangkucecwara,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-malangkucecwara,Rp5.000.000 per semester,1340,54,"{""website"": ""web.stie-mce.ac.id"", ""email"": ""info@stie-mce.ac.id"", ""phone"": ""0341-491813, 081936936399""}","Sekolah Tinggi Ilmu Ekonomi Malangkucecwara adalah salah satu kampus tertua di kota Malang dan telah berdiri sejak tahun 1971. Cikal bakal kampus ini adalah Akademi Bank Malang (ABM) yang didirikan oleh Yayasan Pendidikan Nasional Penunjang Pelita (Y3P). Sampai sekarang, STIE Malangkucecwara masih dikenal dengan sebutan ""Kampus ABM"".",{}
71,admin@stikeswilliambooth.ac.id,Sekolah Tinggi Ilmu Kesehatan William Booth,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-william-booth,Rp5.000.000-Rp6.000.000 per semester,229,22,"{""website"": ""www.stikeswilliambooth.ac.id"", ""email"": ""admin@stikeswilliambooth.ac.id"", ""phone"": ""031-5633365""}","Quipperian tahu nggak sih kalau kampus ini sudah menyelenggarakan pendidikan di bidang kesehatan selama hampir 100 tahun? Cikal bakal Sekolah Tinggi Ilmu Kesehatan William Booth adalah Sekolah Bidan yang pendiriannya dipelopori oleh Ny. Komisioner Margst Lebbink di tahun 1929. Sempat berubah bentuk menjadi Sekolah Perawat Kesehatan dan Akademi Keperawatan, akhirnya kampus ini resmi bertransformasi menjadi Sekolah Tinggi Ilmu Kesehatan William Booth di tahun 2011.",{}
72,stikeskpj@stikeskepanjen-pemkabmalang.ac.id,Sekolah Tinggi Ilmu Kesehatan Kepanjen,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-kepanjen,Rp3.950.000-Rp11.500.000 per semester,598,31,"{""website"": ""www.stikeskepanjen-pemkabmalang.ac.id"", ""email"": ""stikeskpj@stikeskepanjen-pemkabmalang.ac.id"", ""phone"": ""0341-397644""}","Awal berdirinya Sekolah Tinggi Ilmu Kesehatan Kepanjen dimulai dari pengembangan Sekolah Perawat Kesehatan (SPK) Kepanjen. SPK Kepanjen berdiri pada 1 Oktober 1985 yang diawali dari kelas Ekstensi SPK Depkes Celaket Malang, ketika itu berada di bawah pembinaan Rumah Sakit Umum Kanjuruhan Kepanjen. Seiring bertambahnya kebutuhan tenaga kesehatan yang menuntut peningkatan jenjang pendidikan bagi tenaga profesi keperawatan, kemudian status SPK Kepanjen berubah menjadi Akademi Keperawatan Kabupaten Malang pada tahun 1998. Barulah di tahun 2009, kampus ini resmi berubah bentuk menjadi Sekolah Tinggi Ilmu Kesehatan Kepanjen.",{}
73,stikesmi@stikesmedistra-indonesia.ac.id,Sekolah Tinggi Ilmu Kesehatan Medistra Indonesia,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-medistra,Rp10.000.000 per semester,925,44,"{""website"": ""www.stikesmedistra-indonesia.ac.id"", ""email"": ""stikesmi@stikesmedistra-indonesia.ac.id"", ""phone"": ""021-82431375, 82431376, 82431377""}","Sekolah Tinggi Ilmu Kesehatan Medistra Indonesia merupakan institusi pendidikan yang berdiri pada tanggal 4 April 2002 di bawah naungan Yayasan Medistra Indonesia. Awalnya, kampus ini berlokasi di Jakarta. Lalu di tahun 2005, STIKes Medistra Indonesia mulai mengembangkan fasilitas bangunan dan sarana prasarana yang lebih lengkap sehingga seluruh aktivitas pendidikan dipindahkan ke gedung kampus baru yang berlokasi di Bekasi.",{}
74,info@thamrin.ac.id,Universitas Mohammad Husni Thamrin Jakarta,Universitas Swasta,https://campus.quipper.com/directory/universitas-mohammad-husni-thamrin-jakarta,,5000,177,"{""website"": ""www.thamrin.ac.id"", ""email"": ""info@thamrin.ac.id"", ""phone"": ""021-8096411""}","Universitas Mohammad Husni Thamrin didirikan pada tahun 2013 dan merupakan hasil gabungan dari beberapa sekolah tinggi yaitu Sekolah Tinggi Ilmu Kesehatan (STIKes) MH. Thamrin, Sekolah Tinggi Ilmu Ekonomi (STIE) MH. Thamrin, serta Sekolah Tinggi Manajemen Informatika dan Komputer (STMIK) MH. Thamrin. Saat ini, Universitas MH Thamrin memiliki 19 program studi yang terbagi ke dalam 4 fakultas yaitu Fakultas Kesehatan, Fakultas Ekonomi dan Bisnis, Fakultas Komputer, dan Fakultas Keguruan dan Ilmu Pendidikan. Sebagai tambahan informasi, Universitas MH Thamrin telah terakreditasi B dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT), sehingga kalian tidak perlu ragu untuk menempuh pendidikan di kampus ini!",{}
75,info@ibik.ac.id,Institut Bisnis dan Informatika Kesatuan,Institut Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-kesatuan,Rp6.000.000 - Rp10.000.000 kisaran per-semester,3106,114,"{""website"": ""www.ibik.ac.id"", ""email"": ""info@ibik.ac.id"", ""phone"": ""0251-8337733, \u200e0855-8239-348""}","Sebelum resmi berdiri dengan nama Institut Bisnis dan Informatika Kesatuan, kampus ini telah beberapa kali mengalami perubahan bentuk. Awalnya, Yayasan Kesatuan mendirikan Akademi Manajemen Kesatuan (AMK) di tahun 1974. Berangkat dari keberhasilan AMK, Yayasan Kesatuan memutuskan untuk mendirikan lembaga pendidikan setingkat sarjana di tahun 1996, yaitu Sekolah Tinggi Ilmu Ekonomi (STIE) Kesatuan. Pada tahun 2009, AMK disatukan di bawah naungan STIE Kesatuan. Sepuluh tahun kemudian tepatnya di tahun 2019, STIE Kesatuan bertransformasi menjadi Institut Bisnis dan Informatika Kesatuan (IBI Kesatuan).",{}
76,info@pip-semarang.ac.id,Politeknik Ilmu Pelayaran Semarang,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-ilmu-pelayaran-semarang,Rp1.340.000 - Rp12.280.000 per semester,1404,98,"{""website"": ""www.pip-semarang.ac.id"", ""email"": ""info@pip-semarang.ac.id"", ""phone"": ""(024) 8311527""}","Politeknik Ilmu Pelayaran Semarang berdiri pada tahun 1951 dengan nama Sekolah Pelayaran Semarang atau yang disingkat SPS. Politeknik Ilmu Pelayaran Semarang adalah perguruan tinggi negeri milik Kementerian Perhubungan Republik Indonesia. Saat ini, Politeknik Ilmu Pelayaran Semarang hanya menyediakan program diploma yang terdiri atas D4 Nautika, D4 Teknika, dan D4 Tata Laksana Angkutan Laut dan Kepelabuhan. Para lulusan akan meraih gelar Sarjana Terapan Pelayaran (S.Tr.Pel.).",{}
77,stkipkn@stkipkusumanegara.ac.id,Sekolah Tinggi Keguruan dan Ilmu Pendidikan (STKIP) Kusuma Negara,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-keguruan-dan-ilmu-pendidikan-stkip-kusuma-negara,Rp4.675.000 - Rp7.200.000 per semester,1632,120,"{""website"": ""www.stkipkusumanegara.ac.id"", ""email"": ""stkipkn@stkipkusumanegara.ac.id"", ""phone"": ""(021) 87791773""}","Sekolah Tinggi Keguruan dan Ilmu Pendidikan (STKIP) Kusuma Negara merupakan perguruan tinggi yang didirikan pada tahun 1976 dan berada di bawah naungan Yayasan Masjid Panglima Besar Sudirman. Kampus ini menyediakan 6 program studi pada jenjang sarjana dan memiliki visi berupa mewujudkan sekolah tinggi yang unggul, menghasilkan lulusan yang memiliki kompetensi keguruan berkarakter islami, berdaya saing global, serta berjiwa entrepreneur pada tahun 2030.",{}
78,sekretariat@itltrisakti.ac.id,Institut Transportasi dan Logistik Trisakti,Institut Swasta,https://campus.quipper.com/directory/institut-transportasi-dan-logistik-trisakti,Rp5.000.000 per semester,3705,236,"{""website"": ""itltrisakti.ac.id"", ""email"": ""sekretariat@itltrisakti.ac.id"", ""phone"": ""021-8516050""}","Institut Transportasi dan Logistik Trisakti merupakan perguruan tinggi swasta yang berada di bawah naungan Yayasan Trisakti. Pada tahun 1970, kampus ini dikenal dengan nama Akademi Angkutan Udara Niaga Trisakti (AAUN Trisakti). Kemudian di tahun 1986, akademi ini berubah nama menjadi Sekolah Tinggi Manajemen Transportasi Trisakti (STMT Trisakti). Setelah perjalanan panjang selama 32 tahun menyelenggarakan pendidikan sebagai sekolah tinggi, akhirnya kampus ini resmi bertransformasi menjadi Institut Transportasi dan Logistik Trisakti di tahun 2018.",{}
79,sekretariat@stikesborromeus.ac.id,Sekolah Tinggi Ilmu Kesehatan Santo Borromeus,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-santo-borromeus,Rp10.000.000 kisaran per-semester,314,44,"{""website"": ""www.stikesborromeus.ac.id"", ""email"": ""sekretariat@stikesborromeus.ac.id"", ""phone"": ""022-6803961""}","Sekolah Tinggi Ilmu Kesehatan Santo Borromeus (STIKes Santo Borromeus) telah mencetak ribuan lulusan sejak tahun 1926. Sempat berdiri sebagai Akademi Keperawatan (AKPER), Santo Borromeus didirikan oleh Yayasan Pendidikan Kesehatan Borromeus dan berkedudukan di Kabupaten Bandung Barat. STIKes Santo Borromeus menyelenggarakan pendidikan tinggi kesehatan secara profesional dengan disiplin dan semangat Iman Kristiani, siap mengabdi kepada masyarakat dengan menjunjung tinggi nilai-nilai kemanusiaan sesuai falsafah Pancasila, UUD 1945, dan Guiding Principle of Carolus Borromeus.",{}
80,ppi@ppicurug.ac.id,Politeknik Penerbangan Indonesia Curug,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-penerbangan-indonesia-curug,Rp8.100.000-Rp13.600.000 per semester,941,77,"{""website"": ""www.ppicurug.ac.id"", ""email"": ""ppi@ppicurug.ac.id"", ""phone"": ""021-5982204""}","Didirikan di Jakarta tepatnya di daerah Gempol-Kemayoran pada tahun 1952, institusi pendidikan ini semula diberi nama Akademi Penerbangan Indonesia (API). Pada tahun 1954, API dipindahkan dari Jakarta ke kampus baru di wilayah Legok, Kabupaten Tangerang. Lalu pada tahun 1969, Akademi Penerbangan Indonesia (API) berubah nama menjadi Lembaga Perhubungan Udara (LPPU).",{}
81,akademik@mahardika.ac.id,Sekolah Tinggi Ilmu Kesehatan Mahardika Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-mahardika-cirebon,Rp5.850.000 per semester,866,50,"{""website"": ""mahardika.ac.id"", ""email"": ""akademik@mahardika.ac.id"", ""phone"": ""0231-488123""}","Sekolah Tinggi Ilmu Kesehatan Mahardika Cirebon didirikan oleh Yayasan Pengembangan Ilmu Mahardika (YPIM) pada tanggal 14 Agustus 2002. Berdirinya kampus ini sesuai dengan dinamika laju pertumbuhan dan perkembangan sebuah daerah, serta kebutuhan nyata akan peningkatan Indeks Pembangunan Manusia (IPM) yang ditekankan pada tiga domain, yaitu pendidikan, kesehatan dan ekonomi.",{}
82,kantorpusat@unmuhjember.ac.id,Universitas Muhammadiyah Jember,Universitas Swasta,https://campus.quipper.com/directory/universitas-muhammadiyah-jember,Rp3.400.000 per semester,2214,295,"{""website"": ""unmuhjember.ac.id"", ""email"": ""kantorpusat@unmuhjember.ac.id"", ""phone"": ""0331-336728""}","Universitas Muhammadiyah Jember (Unmuh Jember) merupakan perguruan tinggi swasta yang didirikan tahun 1981 dan diresmikan pada tahun 1982, serta berada dibawah naungan Persyarikatan Muhammadiyah. Pada awal terbentuknya, kampus ini hanya memiliki 3 fakultas yakni Fakultas Hukum, Fakultas Keguruan dan Ilmu Pendidikan, serta Fakultas Pertanian. Saat ini, Unmuh Jember memiliki 9 fakultas dengan 28 program studi dan 1 program pascasarjana. Bagi Quipperian yang tertarik untuk melanjutkan pendidikan di Unmuh Jember, yuk simak informasi berikut ini!",{}
83,info@ikj.ac.id,Institut Kesenian Jakarta,Institut Swasta,https://campus.quipper.com/directory/institut-kesenian-jakarta-lpkj,Rp6.500.000 - Rp35.000.000 per semester,2805,125,"{""website"": ""www.ikj.ac.id"", ""email"": ""info@ikj.ac.id"", ""phone"": ""+62 21-3924018""}","Awalnya Institut Kesenian Jakarta (IKJ) merupakan sebuah Lembaga Pendidikan Kesenian Jakarta (LPKJ) berbentuk sanggar yang didirikan pada tahun 1970 oleh Gubernur DKI Jakarta Ali Sadikin. Kemudian pada tahun 1980, LPKJ kian berkembang dan berganti nama menjadi Institut Kesenian Jakarta. Saat ini, IKJ terdiri atas berbagai program studi yang terangkum dalam tiga Fakultas, yakni: Fakultas Film dan Televisi (FFTV), Fakultas Seni Rupa (FSR), Fakultas Seni Pertunjukan (FSP) serta ditambah dengan Sekolah Pascasarjana. Sebagian program studi telah meraih akreditasi dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT).",{}
84,humas@staff.ukdw.ac.id,Universitas Kristen Duta Wacana,Universitas Swasta,https://campus.quipper.com/directory/universitas-kristen-duta-wacana,Rp8.000.000 per semester,4420,153,"{""website"": ""www.ukdw.ac.id"", ""email"": ""humas@staff.ukdw.ac.id"", ""phone"": ""0274-563929""}","Berawal dari Sekolah Tinggi Theologia Duta Wacana, saat ini Universitas Kristen Duta Wacana (UKDW) menjadi kampus swasta terkemuka di Yogyakarta. Kualitasnya dibuktikan lewat akreditasi A dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT) berdasarkan Surat Keputusan (SK) Nomor 3290/SK/BAN-PT/Akred/PT/IX/2017. UKDW juga termasuk perguruan tinggi protestan terbaik seluruh dunia pada posisi ke-61 berdasarkan daftar Top Protestant Universities in the World dari University Ranking (UniRank) 2022, keren banget ya Quipperian!",{}
85,admin@stkipbim.ac.id,STKIP Bina Insan Mandiri,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stkip-bina-insan-mandiri,Rp600.000 per bulan,684,63,"{""website"": ""www.stkipbim.ac.id"", ""email"": ""admin@stkipbim.ac.id"", ""phone"": ""031-7671122, 031-7404404""}","Terbentuknya Sekolah Tinggi Keguruan dan Ilmu Pendidikan (STKIP) Bina Insan Mandiri berawal dari penyerahan STKIP PGRI Mojokerto kepada Perkumpulan Pengelola Pendidikan Bina Insan Mandiri di tahun 2004. Pergantian nama kampus menjadi STKIP Bina Insan Mandiri dilaksanakan pada tanggal 12 April 2005. Sejak berdiri hingga tahun 2022, STKIP Bina Insan Mandiri telah meluluskan lebih dari 3000 alumni, lho.",{}
86,info@stieyapan.ac.id,Sekolah Tinggi Ilmu Ekonomi YAPAN Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-yapan-surabaya,Rp3.000.000 kisaran per semester,356,38,"{""website"": ""www.stieyapan.ac.id"", ""email"": ""info@stieyapan.ac.id"", ""phone"": ""031-8721694""}","Sekolah Tinggi Ilmu Ekonomi (STIE) YAPAN Surabaya berdiri pada bulan Agustus tahun 2001 di bawah naungan Yayasan Palapa Nusantara dengan membuka 2 program studi sarjana (S1) yaitu Manajemen dan Akuntansi. Kedua program studi tersebut telah terakreditasi Baik oleh BAN-PT, lho. Selain jenjang sarjana, kampus ini juga membuka program studi magister (S2) Manajemen.",{}
87,pmb@stiecirebon.ac.id,Sekolah Tinggi Ilmu Ekonomi Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-cirebon,Rp5.000.000-Rp15.000.000 per semester (tergantung program studi),267,25,"{""website"": ""www.stiecirebon.ac.id"", ""email"": ""pmb@stiecirebon.ac.id"", ""phone"": ""081111122543""}","Sekolah Tinggi Ilmu Ekonomi Cirebon didirikan pada tanggal 22 Agustus 1996 dengan visi menjadi sekolah ekonomi berbasis Information and Communication Technology (ICT). STIE Cirebon berusaha untuk selalu mengedepankan pengetahuan dan pemahaman tentang ICT untuk menunjang kegiatan ekonomi, bisnis, dan perdagangan. Pembelajaran yang ada di kampus ini pun dirancang untuk memahami dan menguasai kondisi lingkungan yang dinamis, inovatif, dan kreatif yang berlandaskan teknologi mobile computing.",{}
88,pmb@sebi.ac.id,Sekolah Tinggi Ekonomi Islam SEBI (STEI SEBI),Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ekonomi-islam-sebi-stei-sebi,Rp7.500.000 per semester,1209,41,"{""website"": ""www.sebi.ac.id"", ""email"": ""pmb@sebi.ac.id"", ""phone"": ""0251-8616655, 0251-8604985""}","Sekolah Tinggi Ekonomi Islam SEBI (STEI SEBI) adalah institusi pendidikan yang didirikan oleh Yayasan Bina Tsaqofah dan lahir dari sebuah gagasan untuk menjadi institusi yang memberikan kontribusi bagi kemaslahatan bangsa, negara, umat dan agama. Kontribusi tersebut diwujudkan dalam bentuk edukasi, sosialisasi, konsultasi, implementasi dan penyiapan sumber daya insani di bidang ekonomi dan lembaga keuangan syariah.",{}
89,info@unitri.ac.id,Universitas Tribhuwana Tunggadewi,Universitas Swasta,https://campus.quipper.com/directory/universitas-tribhuwana-tunggadewi,Rp2.250.000-Rp2.500.000 per semester,8000,212,"{""website"": ""www.unitri.ac.id"", ""email"": ""info@unitri.ac.id"", ""phone"": ""0341-565500""}","Universitas Tribhuwana Tunggadewi (UNITRI) didirikan oleh Yayasan Pendidikan Bhakti Nusantara Malang. Pendirian kampus ini dilakukan dalam dua tahap, tahap pertama pada tanggal 14 Desember 1987, lalu pendirian tahap kedua dilakukan pada tahun 2001. Sejarahnya, UNITRI merupakan bentuk transformasi dari dua sekolah tinggi milik Yayasan Pendidikan Bhakti Nusantara Malang yaitu Sekolah Tinggi Pertanian (STIPER) dan Sekolah Tinggi llmu Ekonomi (STIE) Tribhuwana. Keduanya resmi bergabung dan beroperasi sebagai universitas pada tanggal 2 Agustus 2001 berdasarkan Surat Keputusan Menteri Pendidikan Nasional Republik Indonesia. Saat ini UNITRI memiliki 7 fakultas dengan 19 pilihan program studi di bidang teknik, pertanian, ekonomi, ilmu sosial dan politik, ilmu kesehatan, dan ilmu pendidikan.",{}
90,sekretariat@polman.astra.ac.id,Politeknik Astra,Politeknik Swasta,https://campus.quipper.com/directory/politeknik-astra,Rp10.000.000 per semester,750,72,"{""website"": ""www.polytechnic.astra.ac.id"", ""email"": ""sekretariat@polman.astra.ac.id"", ""phone"": ""081384296901, 0216519555 / 821""}","Politeknik Astra berdiri pada tahun 1995 dan berada di bawah naungan yayasan milik PT Astra International Tbk. Awalnya perguruan tinggi ini bernama Akademi Teknik Federal, lalu pada tahun 2001 berganti nama menjadi Politeknik Manufaktur Astra (Polman Astra). Barulah kemudian pada tahun 2021 diubah lagi menjadi Politeknik Astra. Saat ini, Politeknik Astra memiliki 6 program studi yaitu D3 Teknik Pembuatan Peralatan Perkakas Produksi (P4), D3 Teknik Produksi dan Proses Manufaktur (TPPM), D3 Manajemen Informatika (MI), D3 Mesin Otomotif (MO), D3 Mekatronika (MK), dan D3 Teknologi Konstruksi Bangunan Gedung (TKBG).",{}
91,info-business-school@jic.ac.id,STIE Jakarta International College,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stie-jakarta-international-college,Rp7.170.000-Rp12.200.000 per tahun,1212,32,"{""website"": ""www.jic-stie.ac.id"", ""email"": ""info-business-school@jic.ac.id"", ""phone"": ""021-420 7238, 021-425 7368, 021-425 7369""}","Cikal bakal STIE Jakarta International College adalah STIE Setiabudi yang berasal dari Akademi Keuangan dan Perbankan Setiabudi (Akademi Bank Nasional) yang berdiri di bawah naungan Yayasan Pendidikan Setiabudi. Kampus ini berhasil mendapatkan akreditasi B oleh BAN-PT dan sudah menggunakan kurikulum berbasis nasional dan internasional yang ter-update, guna menopang kompetensi mahasiswa di dunia kerja. Selama masa studi, mahasiswa STIE Jakarta International College akan dibekali dengan beragam sertifikasi kompetensi seperti seminar, kegiatan kampus, dan sertifikat pendukung lainnya. Terdapat dua pilihan kelas yang tersedia di kampus ini, yaitu kelas reguler dengan jam perkuliahan pagi dan kelas profesional dengan jam perkuliahan malam. Yuk, simak dulu profil lengkapnya!",{}
92,rektorat@unibba.ac.id,Universitas Bale Bandung,Universitas Swasta,https://campus.quipper.com/directory/universitas-bale-bandung,Rp3.000.000 per semester,2202,105,"{""website"": ""https://unibba.ac.id/"", ""email"": ""rektorat@unibba.ac.id"", ""phone"": ""022-5940443, 022-5947087, 022-5949221, 022-5940262""}","Universitas Bale Bandung merupakan pengembangan dari Sekolah Tinggi Pertanian dan Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bale Bandung di bawah binaan Yayasan Pendidikan Bale Bandung. Kedua sekolah tinggi tersebut kini menjadi Fakultas Pertanian dan Fakultas Keguruan dan Ilmu Pendidikan di kampus yang sering disebut UNIBBA ini. Adapun 5 fakultas lainnya yang didirikan sehubungan berdirinya UNIBBA pada tanggal 22 Mei 2008, yakni terdiri atas Fakultas Teknologi Informasi, Fakultas Ilmu Kesehatan, Fakultas Matematika dan Ilmu Pengetahuan Alam, Fakultas Ekonomi, dan Fakultas Ilmu Sosial dan Ilmu Politik.",{}
93,uniga@unigamalang.ac.id,Universitas Gajayana,Universitas Swasta,https://campus.quipper.com/directory/universitas-gajayana,Rp3.000.000-Rp4.000.000 per semester,2255,118,"{""website"": ""www.unigamalang.ac.id"", ""email"": ""uniga@unigamalang.ac.id"", ""phone"": ""0341-562411""}","Universitas Gajayana dibangun pada tanggal 20 Mei 1980 di bawah naungan Yayasan Pendidikan Gajayana Malang (YPG). Selama kurun waktu lebih dari 20 tahun sejak berdiri sebagai institusi pedidikan tinggi, Universitas Gajayana sudah meluluskan lebih dari 11.000 alumni program sarjana dan pascasarjana.",{}
94,info@stakatnpontianak.ac.id,Sekolah Tinggi Agama Katolik Negeri Pontianak,Sekolah Tinggi Negeri,https://campus.quipper.com/directory/sekolah-tinggi-agama-katolik-negeri-pontianak,Rp600.000-Rp5.000.000 per semester,831,36,"{""website"": ""www.stakatnpontianak.ac.id"", ""email"": ""info@stakatnpontianak.ac.id"", ""phone"": ""0561-6710424""}","Sekolah Tinggi Agama Katolik Negeri Pontianak (STAKatN Pontianak) adalah sekolah tinggi Katolik pertama di Indonesia yang berstatus negeri. Awalnya, kampus ini berdiri sebagai perguruan tinggi swasta dengan nama Sekolah Tinggi Pastoral (STP) St. Agustinus, Keuskupan Agung Pontianak yang berdiri sejak tahun 2006. STAKatN Pontianak diresmikan oleh Menteri Agama RI Lukman Hakim Syaifudin di Kubu Raya pada 6 April 2017.",{}
95,info@iainbatusangkar.ac.id,Universitas Islam Negeri Mahmud Yunus Batusangkar,Universitas Negeri,https://campus.quipper.com/directory/universitas-islam-negeri-mahmud-yunus-batusangkar,,10484,229,"{""website"": ""www.iainbatusangkar.ac.id"", ""email"": ""info@iainbatusangkar.ac.id"", ""phone"": ""(0752) 71150""}","Universitas Islam Negeri (UIN) Mahmud Yunus Batusangkar bermula dari Fakultas Tarbiyah Institut Agama Islam Negeri (IAIN) Imam Bonjol di Batusangkar yang alih status menjadi Sekolah Tinggi Agama Islam Negeri (STAIN) Batusangkar. Dengan proses yang cukup panjang, pada tahun 2015, STAIN Batusangkar alih status menjadi Institut Agama Islam Negeri (IAIN) Batusangkar. Kemudian pada tahun 2022, IAIN Batusangkar mengalami perubahan nama menjadi UIN Mahmud Yunus Batusangkar. Saat ini, UIN Mahmud Yunus Batusangkar memiliki empat fakultas yang terdiri atas berbagai macam bidang keilmuan. UIN Mahmud Yunus Batusangkar juga memiliki Program Pascasarjana.",{}
